hmdb_id;name;ccl;icl;inchi;gutper
DB14505;Sodium borate;Other;Neutral;InChI=1S/B4H2O7/c5-1-7-3-9-2(6)10-4(8-1)11-3/h5-6H;0
DB11326;Boric acid;Other;Neutral;InChI=1S/BH3O3/c2-1(3)4/h2-4H;0
DB06119;Cenobamate;Other;Basic;InChI=1S/C10H10ClN5O2/c11-8-4-2-1-3-7(8)9(18-10(12)17)5-16-14-6-13-15-16/h1-4,6,9H,5H2,(H2,12,17)/t9-/m0/s1;0
HMDB0251697|DB12243;Edaravone;Organoheterocyclic compounds;Neutral;InChI=1S/C10H10N2O/c1-8-7-10(13)12(11-8)9-5-3-2-4-6-9/h2-6H,7H2,1H3;0
DB00359;Sulfadiazine;Benzenoids;Acid;InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14);0
HMDB0031619;2-Phenyl-2-butenal;Benzenoids;Neutral;InChI=1S/C10H10O/c1-2-9(8-11)10-6-4-3-5-7-10/h2-8H,1H3/b9-2-;1
HMDB0000955;Isoferulic acid;Phenylpropanoids and polyketides;Acid;InChI=1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+;0
HMDB0000954;Ferulic acid;Phenylpropanoids and polyketides;Acid;InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+;0
DB00432;Trifluridine;Nucleosides, nucleotides, and analogues;Acid;InChI=1S/C10H11F3N2O5/c11-10(12,13)4-2-15(9(19)14-8(4)18)7-1-5(17)6(3-16)20-7/h2,5-7,16-17H,1,3H2,(H,14,18,19)/t5-,6+,7+/m0/s1;0
DB01015;Sulfamethoxazole;Benzenoids;Basic;InChI=1S/C10H11N3O3S/c1-7-6-10(12-16-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13);0
HMDB0240317;N-Formylphenylalanine;Organic acids and derivatives;Acid;InChI=1S/C10H11NO3/c12-7-11-9(10(13)14)6-8-4-2-1-3-5-8/h1-5,7,9H,6H2,(H,11,12)(H,13,14)/t9-/m0/s1;1
HMDB0029641;p-Mentha-1,3,5,8-tetraene;Benzenoids;Neutral;InChI=1S/C10H12/c1-8(2)10-6-4-9(3)5-7-10/h4-7H,1H2,2-3H3;1
DB01325;Quinethazone;Organoheterocyclic compounds;Basic;InChI=1S/C10H12ClN3O3S/c1-2-9-13-7-4-6(11)8(18(12,16)17)3-5(7)10(15)14-9/h3-4,9,13H,2H2,1H3,(H,14,15)(H2,12,16,17);0
DB00242;Cladribine;Nucleosides, nucleotides, and analogues;Basic;InChI=1S/C10H12ClN5O3/c11-10-14-8(12)7-9(15-10)16(3-13-7)6-1-4(18)5(2-17)19-6/h3-6,17-18H,1-2H2,(H2,12,14,15)/t4-,5+,6+/m0/s1;0
DB00181;Baclofen;Organic acids and derivatives;Zwitterion;InChI=1S/C10H12ClNO2/c11-9-3-1-7(2-4-9)8(6-12)5-10(13)14/h1-4,8H,5-6,12H2,(H,13,14);0
DB01073;Fludarabine;Nucleosides, nucleotides, and analogues;Basic;InChI=1S/C10H12FN5O4/c11-10-14-7(12)4-8(15-10)16(2-13-4)9-6(19)5(18)3(1-17)20-9/h2-3,5-6,9,17-19H,1H2,(H2,12,14,15)/t3-,5-,6+,9-/m1/s1;0
HMDB0000303;Tryptamine;Organoheterocyclic compounds;Basic;InChI=1S/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6,11H2;0
HMDB0000259;Serotonin;Organoheterocyclic compounds;Basic;InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2;0
HMDB0000684;L-Kynurenine;Organic oxygen compounds;Zwitterion;InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)/t8-/m0/s1;0
DB00649;Stavudine;Nucleosides, nucleotides, and analogues;Acid;InChI=1S/C10H12N2O4/c1-6-4-12(10(15)11-9(6)14)8-3-2-7(5-13)16-8/h2-4,7-8,13H,5H2,1H3,(H,11,14,15)/t7-,8+/m0/s1;0
HMDB0012819;5-Hydroxykynurenine;Organic oxygen compounds;Zwitterion;InChI=1S/C10H12N2O4/c11-7-2-1-5(13)3-6(7)9(14)4-8(12)10(15)16/h1-3,8,13H,4,11-12H2,(H,15,16);1
