;l-tpsa;u-tpsa;l-logp;u-logp;l-rb;u-rb;l-hbd;u-hbd;l-hba;u-hba;l-mw;u-mw;l-qed;u-qed;l-nring;u-nring;l-naring;u-naring;l-fsp3;u-fsp3;ic1;ic2
Organoheterocyclic compounds;-0.5276484429638556;-0.2551529924675801;-0.6089794936739019;-0.44313060489142575;-0.7740973946049318;-0.6814051228411636;-0.4221479543441855;-0.10205945376025409;-0.664141205429041;-0.39585166259305143;-0.8567749307277633;-0.7301447000353999;0.32509780042451897;0.834214274608303;-0.38569191532400954;0.03243884816054766;-0.36272818886711194;-0.0297555275394042;-1.674121760681572;0.12477219186744509;Neutral;Acid
Glycerolipids;-0.17425719102207216;-0.17425719102207216;1.6996114532620092;1.9219603652196195;1.4505171277255047;1.7285939430168091;-0.4221479543441855;-0.4221479543441855;0.006582651660932941;0.006582651660932941;0.8178909675840679;0.9490298478403324;-1.2606778335345739;-1.2604735753870997;-0.8038226788085667;-0.8038226788085667;-0.6957008501948198;-0.6957008501948198;0.3507171236416658;1.0228666162979319;Neutral;Neutral
Benzenoids;-0.6069811729916029;-0.3937453248423589;-0.4932423943141624;-0.3317615969460276;-0.7277512587230477;-0.6814051228411636;-0.4221479543441855;-0.26210370405221983;-0.7982859768470357;-0.5299964340110462;-0.8261551399470525;-0.7184780560092867;0.5855439817727718;1.038568509184949;-0.38569191532400954;-0.38569191532400954;-0.0297555275394042;-0.0297555275394042;-1.4184894621614483;-0.481171034254329;Neutral;Acid
Organic acids and derivatives;-0.14875444683755612;0.059490541697083676;-0.8294308576833644;-0.6187050931820082;-0.5887128510773955;-0.4496744434317432;-0.10205945376025409;0.21802904682367735;-0.39585166259305143;-0.26170689117505663;-0.7169905893988155;-0.5161298987181755;0.2778376038513172;0.8152603248894412;-0.8038226788085667;-0.38569191532400954;-0.6957008501948198;-0.0297555275394042;-0.3837873014847585;0.8064583212544411;Zwitterion;Acid
Organic oxygen compounds;-0.5133614217594116;0.0003680508779259875;-1.0548779430815907;-0.47497183257467557;-0.7045781907821056;-0.5423667151955114;-0.4221479543441855;0.21802904682367735;-0.664141205429041;-0.060489734048064445;-0.872611583285392;-0.6318052283655556;-0.15867094711205584;0.547010023586054;-0.8038226788085667;-0.38569191532400954;-0.6957008501948198;-0.6957008501948198;0.24312047821935406;1.3795131814847372;Neutral;Acid
Other;-0.401848616139697;-0.17425719102207216;-0.45219326191062564;1.907542198928229;-0.5655397831364534;1.7285939430168091;-0.4221479543441855;-0.3821368917711941;-0.563532626865545;0.006582651660932941;-0.7184318829632529;0.9088964887542703;-1.2606399483731898;0.09325475414225767;-0.8038226788085667;-0.8038226788085667;-0.6957008501948198;-0.6957008501948198;0.2671282734507413;1.1528861161426098;Neutral;Neutral
Steroids and steroid derivatives;-0.2914601250485471;-0.0695588283376826;-0.252357743621504;0.04388093921018781;-0.5887128510773955;-0.5423667151955114;-0.10205945376025409;0.17801798425068593;-0.5299964340110462;-0.16109831261156055;-0.2628852392901743;-0.14073067499339234;0.3604333642794121;1.0985748099877435;0.868700375129662;0.868700375129662;-0.6957008501948198;-0.6957008501948198;1.2237917520743307;1.421869410284368;Acid;Neutral
Fatty Acyls;-0.462739845668426;-0.2678769422542634;-0.39532678811348454;1.6067462029064663;-0.49602057931362725;1.4505171277255047;-0.4221479543441855;-0.26210370405221983;-0.5299964340110462;-0.12756211975706183;-0.749946028042406;0.687027174586797;-1.2289717193164293;0.521456916430616;-0.8038226788085667;-0.8038226788085667;-0.6957008501948198;-0.6957008501948198;0.8463230071835052;1.1851728375805497;Neutral;Acid
Phenylpropanoids and polyketides;-0.34693544922626324;-0.09035864711612929;-0.5863908110594382;-0.4360261267414677;-0.6814051228411636;-0.6350589869592795;-0.18208157890623694;0.09799585910470307;-0.563532626865545;-0.19463450546605926;-0.7512243636654199;-0.4962727892032369;0.24897951209400476;1.155547065543553;-0.38569191532400954;0.4505696116451049;-0.0297555275394042;0.8026761257798654;-1.8445432930283208;-1.0208392200190342;Acid;Neutral
Prenol lipids;-0.6069811729916029;-0.4960305246361706;-0.31232239085926267;-0.06166949913157333;-0.7277512587230477;-0.5539532491659824;-0.4221479543441855;-0.26210370405221983;-0.7982859768470357;-0.664141205429041;-0.7964854966000747;-0.6527772726551209;0.3075246528930108;0.7979375215600438;-0.6992899879374275;0.03243884816054766;-0.6957008501948198;-0.6957008501948198;0.20051509513266677;0.8822012245196629;Neutral;Acid
