ccl;tpsa;logp;rb;hbd;hba;mw;qed;nring;naring;fsp3
Benzenoids;-0.2789555537064618;-0.3116561170010654;-0.5887128510773955;-0.26210370405221983;-0.39585166259305143;-0.454541309593694;0.8125043105010716;0.03243884816054766;0.6361897951160114;-1.0425596113965612
Endocannabinoids;-0.287648424573657;-0.010300450938418084;0.03695998332803982;-0.10205945376025409;-0.32877927688405406;-0.2999611402710474;-0.5030670718996264;-0.8038226788085667;-0.6957008501948198;0.3042499409089489
Fatty Acyls;-0.2408385489575614;-0.13440061976625095;-0.1715976281404386;-0.10205945376025409;-0.39585166259305143;-0.37823746771736577;-0.2953382527377998;-0.8038226788085667;-0.6957008501948198;0.6171010630913866
Glycerolipids;-0.20754786998981684;0.8659429509311986;0.8016712253791274;-0.26210370405221983;-0.12756211975706183;0.27698358386183575;-1.1987295114371601;-0.8038226788085667;-0.6957008501948198;0.8988277154803214
Glycerophospholipids;0.2092163301352104;0.6880211798381883;0.9870557689066637;0.05798479653171163;0.4090169659149173;0.5387061671812067;-1.2692022071281148;-0.8038226788085667;-0.6957008501948198;1.0482900060440365
Hydrocarbons;-0.6069811729916029;-0.3749521335298106;-0.7277512587230477;-0.4221479543441855;-0.7982859768470357;-0.8724963460615933;0.19154623998556589;-0.8038226788085667;-0.6957008501948198;0.8064583212544411
Nucleosides, nucleotides, and analogues;0.21346678749929646;-0.8979771122147047;-0.5887128510773955;0.21802904682367735;0.4090169659149173;-0.3466376219742716;0.1435174213412553;0.4505696116451049;0.6361897951160114;-0.02671361466299847
Organic acids and derivatives;0.01084337160747996;-0.6893867554288705;-0.49602057931362725;0.05798479653171163;-0.12756211975706183;-0.433274860996236;0.09412755255907784;-0.38569191532400954;-0.6957008501948198;0.07269894587260513
Organic nitrogen compounds;-0.3364327061911346;-0.5494599173734193;-0.6350589869592795;-0.26210370405221983;-0.5299964340110462;-0.7036731170088997;0.24178385244124762;-0.8038226788085667;-0.6957008501948198;0.427743804928332
Organic oxygen compounds;0.05872271714099071;-0.7557609571824873;-0.5423667151955114;0.21802904682367735;0.14072742307892772;-0.39751524932716753;-0.039396868543485127;0.03243884816054766;-0.6957008501948198;0.427743804928332
Organoheterocyclic compounds;-0.24237419806974733;-0.4135160644422714;-0.6350589869592795;-0.26210370405221983;-0.26170689117505663;-0.4607801111305971;0.7480840955830087;0.4505696116451049;0.6361897951160114;-0.7957954016637118
Organosulfur compounds;-0.4024107734039794;-0.5463111071195786;-0.6350589869592795;-0.26210370405221983;-0.5299964340110462;-0.7438553357592024;0.29262499314747825;-0.8038226788085667;-0.6957008501948198;0.427743804928332
Other;-0.1489738252821541;-0.5649001477632838;-0.5423667151955114;-0.10205945376025409;-0.12756211975706183;-0.27588859337352817;0.006081653083465228;0.4505696116451049;-0.0297555275394042;0.08302207602850228
Phenylpropanoids and polyketides;-0.053599046493178926;-0.33708112742987495;-0.5887128510773955;-0.10205945376025409;0.006582651660932941;-0.25588541214130606;0.22722150964786797;0.4505696116451049;0.6361897951160114;-0.9149712984096902
Prenol lipids;-0.25816944608080244;-0.12511009708754742;-0.49602057931362725;-0.10205945376025409;-0.26170689117505663;-0.18149693532849914;0.03544540144687161;0.4505696116451049;-0.6957008501948198;0.48754083382192837
Sphingolipids;0.09585251888920003;0.09590360205823477;0.9407096330247796;0.21802904682367735;0.14072742307892772;0.574487777365582;-1.2433392475319889;-0.8038226788085667;-0.6957008501948198;1.2631434732947482
Steroids and steroid derivatives;-0.2755003432040435;-0.16922009159564255;-0.6350589869592795;-0.10205945376025409;-0.39585166259305143;-0.23468289340414356;0.6955206016205435;0.868700375129662;-0.6957008501948198;0.9146624687761864
